,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,AMD,SPY,TSLA,AMD,SPY,TSLA,AMD,SPY,TSLA,AMD,SPY,TSLA,AMD,SPY,TSLA,AMD,SPY,TSLA
Date,,,,,,,,,,,,,,,,,,
2023-02-22,76.61000061035156,397.0247497558594,200.86000061035156,76.61000061035156,398.5400085449219,200.86000061035156,78.12999725341797,401.1300048828125,201.99000549316406,75.91999816894531,397.0199890136719,191.77999877929688,76.93000030517578,399.5199890136719,197.92999267578125,50286800,83742300,191828500
2023-02-23,79.75,399.1366882324219,202.07000732421875,79.75,400.6600036621094,202.07000732421875,81.79000091552734,402.20001220703125,205.13999938964844,77.97000122070312,396.25,196.3300018310547,80.62999725341797,401.55999755859375,203.91000366210938,76391300,96242400,146360000
2023-02-24,78.08999633789062,394.8729553222656,196.8800048828125,78.08999633789062,396.3800048828125,196.8800048828125,78.80999755859375,397.25,197.6699981689453,76.94000244140625,393.6400146484375,192.8000030517578,77.75,395.4200134277344,196.3300018310547,46700000,108194400,142228100
2023-02-27,78.7699966430664,396.21783447265625,207.6300048828125,78.7699966430664,397.7300109863281,207.6300048828125,80.12000274658203,401.2900085449219,209.4199981689453,78.52999877929688,396.75,201.25999450683594,79.63999938964844,399.8699951171875,202.02999877929688,45617300,80444700,161028300
2023-02-28,78.58000183105469,394.75341796875,205.7100067138672,78.58000183105469,396.260009765625,205.7100067138672,80.13999938964844,399.2799987792969,211.22999572753906,77.41999816894531,396.1499938964844,203.75,77.87000274658203,397.2300109863281,210.58999633789062,44220100,96438600,153144900
2023-03-01,78.29000091552734,393.23919677734375,202.77000427246094,78.29000091552734,394.739990234375,202.77000427246094,80.29000091552734,396.69000244140625,207.1999969482422,77.87999725341797,393.3800048828125,198.52000427246094,78.55000305175781,395.4100036621094,206.2100067138672,44266000,99706800,156852800
2023-03-02,80.44000244140625,396.2975158691406,190.89999389648438,80.44000244140625,397.80999755859375,190.89999389648438,80.91999816894531,398.69000244140625,193.75,76.6500015258789,392.3299865722656,186.00999450683594,77.56999969482422,392.67999267578125,186.74000549316406,60108600,85127800,181500700
2023-03-03,81.5199966430664,402.65325927734375,197.7899932861328,81.5199966430664,404.19000244140625,197.7899932861328,81.62999725341797,404.45001220703125,200.47999572753906,79.33999633789062,399.0299987792969,192.8800048828125,80.4000015258789,399.7099914550781,194.8000030517578,54536200,90120000,154193300
2023-03-06,81.16000366210938,402.9322204589844,193.80999755859375,81.16000366210938,404.4700012207031,193.80999755859375,83.30000305175781,407.45001220703125,198.60000610351562,81.04000091552734,404.010009765625,192.3000030517578,82.02999877929688,405.04998779296875,198.5399932861328,54541300,72795900,128100100
2023-03-07,82.11000061035156,396.7557678222656,187.7100067138672,82.11000061035156,398.2699890136719,187.7100067138672,84.8499984741211,404.6700134277344,194.1999969482422,80.66999816894531,397.6300048828125,186.10000610351562,81.06999969482422,404.4200134277344,191.3800048828125,70959000,108310600,148125800
2023-03-08,85.37000274658203,397.4033203125,182.0,85.37000274658203,398.9200134277344,182.0,85.7699966430664,399.7099914550781,186.5,82.27999877929688,396.5899963378906,180.0,82.79000091552734,398.3900146484375,185.0399932861328,69529800,74746600,151897800
2023-03-09,84.02999877929688,390.0712890625,172.9199981689453,84.02999877929688,391.55999755859375,172.9199981689453,87.80999755859375,401.4800109863281,185.17999267578125,83.58999633789062,390.5299987792969,172.50999450683594,85.29000091552734,399.739990234375,180.25,79496700,111945300,170023800
2023-03-10,82.66999816894531,384.4427795410156,173.44000244140625,82.66999816894531,385.9100036621094,173.44000244140625,85.44999694824219,393.1600036621094,178.2899932861328,81.62999725341797,384.32000732421875,168.44000244140625,84.47000122070312,390.989990234375,175.1300048828125,70273600,189253000,191488900
